time,open,high,low,close,ST Line Up,ST Up,ST Line Down,ST Down,EMA 1,EMA 2,EMA 3,EMA 4,Zhighs,Zlows,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),BUY,SELL,AP,MOM,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
1707552000,47151.72,47274,46800,47182,38201.215283028796,NaN,NaN,NaN,45818.45431000992,44447.597551040504,43576.71030691124,43039.1367983059,NaN,NaN,47260.72705579593,47274,46800,47101.93,0,0,45014.192407283415,1897.8600000000006,47151.72,47274,46800,47182
1707566400,47182.01,47378.41,47105.44,47353.48,38565.56576590873,NaN,NaN,NaN,45964.64723286612,44561.553725509504,43651.497825586266,43082.06558638246,NaN,NaN,47181.32852789796,47378.41,47105.44,47254.83500000001,0,0,45051.22341970588,2064.8300000000017,47182.01,47378.41,47105.44,47353.48
1707580800,47353.48,47660,47154.52,47531.09,38840.31668931784,NaN,NaN,NaN,46113.83225830744,44678.0061284307,43728.3214330004,43126.334486020445,NaN,NaN,47218.08176394898,47660,47154.52,47424.7725,0,0,45087.2329090914,1470.3499999999985,47353.48,47660,47154.52,47531.09
1707595200,47531.09,48170,47454.37,47751.09,39028.49102038606,NaN,NaN,NaN,46269.76156704006,44798.51922143342,43807.98021650534,43172.351953821235,NaN,NaN,47321.42713197449,48170,47321.42713197449,47726.6375,0,0,45170.98756802299,1549.0899999999965,47531.09,48170,47454.37,47751.09
1707609600,47751.08,48557,47557.16,48519.61,39028.49102038606,NaN,NaN,NaN,46484.032846369584,44944.444350004655,43901.2798161785,43225.55850154441,NaN,NaN,47524.03231598724,48557,47524.03231598724,48096.212499999994,0,0,45253.16533483712,1339.5900000000038,47751.08,48557,47557.16,48519.61
1707624000,48519.6,48592.66,48061.1,48179.52,39064.96387651272,NaN,NaN,NaN,46645.507813382006,45071.310061769174,43985.997443580905,43274.85165078277,NaN,NaN,47810.12240799362,48592.66,47810.12240799362,48338.22,0,0,45312.20002549325,1019.5299999999988,48519.6,48592.66,48061.1,48179.52
1707638400,48179.51,48438.81,47922.33,48411.71,39070.12548886145,NaN,NaN,NaN,46813.717545440864,45202.30613777823,44073.635315985244,43325.96466918295,NaN,NaN,48074.17120399681,48438.81,47922.33,48238.090000000004,0,0,45358.71575441473,902.2299999999959,48179.51,48438.81,47922.33,48411.71
1707652800,48411.71,48469.07,47931.82,48150.43,39195.1699399753,NaN,NaN,NaN,46941.02349349412,45317.918838257516,44154.363923589495,43373.96929934033,NaN,NaN,48156.130601998404,48469.07,47931.82,48240.7575,0,0,45419.78658538534,1017.6600000000035,48411.71,48469.07,47931.82,48150.43
1707667200,48150.43,48394.29,47948.38,48284,39397.722445977764,NaN,NaN,NaN,47068.92601792325,45434.23574656114,44236.13889539961,43422.825326212565,NaN,NaN,48198.4440509992,48394.29,47948.38,48194.275,0,0,45470.05958480692,907.3799999999974,48150.43,48394.29,47948.38,48284
1707681600,48283.99,48375,47971.18,48299.99,39671.108701379984,NaN,NaN,NaN,47186.17020669246,45546.61826630384,44316.611194500605,43471.35432794179,NaN,NaN,48196.3595254996,48375,47971.18,48232.53999999999,0,0,45519.66901957161,1148.2699999999968,48283.99,48375,47971.18,48299.99
1707696000,48300,48826.81,48009.52,48145,39671.108701379984,NaN,NaN,NaN,47277.48732986461,45648.515589193885,44392.42087381743,43517.8582649772,NaN,NaN,48214.4497627498,48826.81,48009.52,48320.3325,0,0,48327.10999999999,963,48300,48826.81,48009.52,48145
1707710400,48145,48382.27,47755.81,48203.98,39671.108701379984,NaN,NaN,NaN,47365.724727020366,45748.729879813734,44467.89729215768,43564.486341942604,NaN,NaN,48267.3911313749,48382.27,47755.81,48121.765,0,0,48249.27299135142,850.5,48145,48382.27,47755.81,48203.98
1707724800,48203.98,48311.15,47710.01,47903.03,39671.108701379984,NaN,NaN,NaN,47416.89665778033,45833.2122374681,44535.91972201594,43607.65593057999,NaN,NaN,48194.57806568745,48311.15,47710.01,48032.0425,0,0,48164.40432958417,371.9400000000023,48203.98,48311.15,47710.01,47903.03
1707739200,47903.04,49950,47841,49917.8,39671.108701379984,NaN,NaN,NaN,47655.077928467916,45993.39214972425,44642.4916087087,43670.4434337583,49950,NaN,48113.310282843726,49950,47841,48902.96000000001,0,0,48686.41506257451,2166.7100000000064,47903.04,49950,47841,49917.8
1707753600,49917.8,50334.82,49372.22,49532.03,39671.108701379984,NaN,NaN,NaN,47833.83526861383,46132.16226149977,44739.314151110506,43728.767678198514,50334.82,NaN,48508.135141421866,50334.82,48508.135141421866,49789.2175,0,0,49041.2415362239,1012.4199999999983,49917.8,50334.82,49372.22,49532.03
1707768000,49532.02,50271.02,49532.02,49917.27,39671.108701379984,NaN,NaN,NaN,48032.25762398394,46280.59785908801,44841.84793029643,43790.34481572888,NaN,NaN,49148.67632071093,50271.02,49148.67632071093,49813.0825,0,0,49149.73839020417,1737.75,49532.02,50271.02,49532.02,49917.27
1707782400,49917.28,50368.61,49724.33,49789.99,39671.108701379984,NaN,NaN,NaN,48199.66070741404,46418.221080300245,44939.83094157769,43850.04277776143,50368.61,NaN,49480.87941035547,50368.61,49480.87941035547,49950.0525,0,0,49226.58970975451,1378.2799999999988,49917.28,50368.61,49724.33,49789.99
1707796800,49790,50117.84,49789.99,49983.09,39671.108701379984,NaN,NaN,NaN,48369.51111623175,46558.01986146494,45039.69745758605,43911.068123256344,NaN,NaN,49715.46595517773,50117.84,49715.46595517773,49920.229999999996,0,0,49269.75519947388,1832.6599999999962,49790,50117.84,49789.99,49983.09
